platform,username,content,timestamp,likes,comments,shares
Instagram,@fitness_bhai,Can’t stand cricket content today! #Startup #AI,2025-07-25 14:17:43.299870,674,197,123
Instagram,@chai_coder,Excited to explore movies content today! #Startup #FitnessGoals #Cricket,2025-08-07 20:17:43.299899,566,48,375
Instagram,@rahul_dev,Inspired by fitness content today! #Cricket #TravelIndia #Tech,2025-08-09 16:17:43.299909,118,26,428
Twitter,@vlog_queen,Frustrated by movies content today! #Startup #Bollywood,2025-08-13 22:17:43.299917,65,277,172
Twitter,@travel_diaries,Can’t stand startups content today! #Foodie #Startup #TravelIndia,2025-08-08 11:17:43.299925,832,85,89
Instagram,@tech_guru,Frustrated by AI content today! #Bollywood #TravelIndia,2025-08-06 06:17:43.299933,551,218,432
Twitter,@travel_diaries,Can’t stand movies content today! #Tech,2025-08-17 06:17:43.299940,322,47,99
Twitter,@rahul_dev,Inspired by AI content today! #Foodie,2025-08-03 18:17:43.299946,89,196,388
Instagram,@bollywood_buff,Frustrated by movies content today! #TravelIndia,2025-08-02 11:17:43.299952,322,164,315
YouTube,@fitness_bhai,Absolutely loved travel content today! #Startup #Tech #Cricket,2025-08-04 10:17:43.299958,274,197,153
YouTube,@bollywood_buff,Totally disappointed with fitness content today! #Foodie #TravelIndia #Cricket,2025-08-20 08:17:43.299965,173,104,115
YouTube,@startup_singh,Frustrated by cricket content today! #AI #Cricket,2025-08-18 05:17:43.299970,13,85,382
Twitter,@fitness_bhai,Can’t stand movies content today! #FitnessGoals #Foodie #Bollywood,2025-08-16 09:17:43.299977,993,223,417
YouTube,@startup_singh,Inspired by startups content today! #FitnessGoals #Foodie #Bollywood,2025-07-24 03:17:43.299983,536,262,413
YouTube,@startup_singh,Excited to explore cricket content today! #Tech,2025-08-08 14:17:43.299988,730,147,380
YouTube,@foodie_rani,Totally disappointed with fitness content today! #Startup,2025-07-22 12:17:43.299994,680,179,464
YouTube,@fitness_bhai,Frustrated by movies content today! #Startup #AI,2025-08-12 13:17:43.300000,446,35,83
YouTube,@foodie_rani,Absolutely loved travel content today! #Foodie #FitnessGoals #Bollywood,2025-07-25 05:17:43.300006,385,220,476
YouTube,@chai_coder,Totally disappointed with AI content today! #Tech #FitnessGoals #Foodie,2025-07-23 14:17:43.300012,674,143,82
Twitter,@bollywood_buff,Excited to explore fitness content today! #AI,2025-08-07 21:17:43.300017,305,46,293
YouTube,@startup_singh,Inspired by food content today! #FitnessGoals #Bollywood,2025-08-19 07:17:43.300023,664,259,220
Twitter,@startup_singh,Can’t stand movies content today! #Bollywood #Cricket #Startup,2025-07-25 02:17:43.300028,713,238,443
Instagram,@foodie_rani,Totally disappointed with startups content today! #Cricket #Tech #FitnessGoals,2025-08-14 20:17:43.300034,407,190,344
YouTube,@tech_guru,Inspired by travel content today! #Bollywood,2025-07-29 03:17:43.300040,49,141,26
Instagram,@bollywood_buff,Excited to explore AI content today! #FitnessGoals #Bollywood,2025-08-02 21:17:43.300046,713,62,319
YouTube,@fitness_bhai,Inspired by food content today! #Startup #FitnessGoals,2025-07-30 14:17:43.300052,777,131,146
Instagram,@tech_guru,Obsessed with cricket content today! #Foodie,2025-08-19 00:17:43.300063,900,62,306
YouTube,@travel_diaries,Frustrated by travel content today! #FitnessGoals #AI #Cricket,2025-07-24 09:17:43.300073,987,98,237
Twitter,@cricket_fan,Frustrated by movies content today! #Bollywood,2025-08-19 14:17:43.300078,268,225,486
Instagram,@tech_guru,Frustrated by startups content today! #AI,2025-08-16 07:17:43.300084,727,49,443
Twitter,@foodie_rani,Absolutely loved travel content today! #Foodie,2025-07-27 02:17:43.300089,189,255,416
Twitter,@travel_diaries,Excited to explore movies content today! #Tech #AI,2025-08-15 00:17:43.300096,325,123,115
Instagram,@bollywood_buff,Absolutely loved travel content today! #FitnessGoals,2025-08-12 14:17:43.300102,819,57,143
Instagram,@tech_guru,Obsessed with travel content today! #Startup #Bollywood #AI,2025-08-08 23:17:43.300109,727,259,115
YouTube,@rahul_dev,Can’t stand startups content today! #Tech #Startup,2025-08-15 21:17:43.300116,353,147,425
Twitter,@fitness_bhai,Absolutely loved fitness content today! #Startup,2025-07-23 08:17:43.300122,416,87,217
Twitter,@startup_singh,Inspired by AI content today! #FitnessGoals,2025-08-03 07:17:43.300128,122,199,28
Twitter,@fitness_bhai,Excited to explore AI content today! #Bollywood #Cricket #Foodie,2025-08-02 14:17:43.300136,811,124,256
Twitter,@rahul_dev,Obsessed with fitness content today! #AI #Tech #Foodie,2025-08-20 09:17:43.300143,363,255,367
Instagram,@tech_guru,Totally disappointed with movies content today! #Foodie #Tech #FitnessGoals,2025-08-05 05:17:43.300152,104,284,421
Twitter,@travel_diaries,Inspired by travel content today! #Startup #Tech #AI,2025-08-08 19:17:43.300159,954,143,182
YouTube,@tech_guru,Excited to explore fitness content today! #Tech,2025-07-29 19:17:43.300165,149,162,183
Instagram,@tech_guru,Inspired by food content today! #Bollywood,2025-08-09 09:17:43.300171,440,59,104
